scraped_at,team,rank,elo_rating
2026-06-11T23:59:59+00:00,Spain,1,2157
2026-06-11T23:59:59+00:00,Argentina,2,2115
2026-06-11T23:59:59+00:00,France,3,2063
2026-06-11T23:59:59+00:00,England,4,2024
2026-06-11T23:59:59+00:00,Brazil,5,1991
2026-06-11T23:59:59+00:00,Portugal,6,1989
2026-06-11T23:59:59+00:00,Colombia,7,1982
2026-06-11T23:59:59+00:00,Netherlands,8,1948
2026-06-11T23:59:59+00:00,Ecuador,9,1938
2026-06-11T23:59:59+00:00,Germany,10,1932
2026-06-11T23:59:59+00:00,Norway,11,1914
2026-06-11T23:59:59+00:00,Croatia,12,1912
2026-06-11T23:59:59+00:00,Turkey,13,1911
2026-06-11T23:59:59+00:00,Japan,14,1906
2026-06-11T23:59:59+00:00,Belgium,15,1894
2026-06-11T23:59:59+00:00,Uruguay,16,1892
2026-06-11T23:59:59+00:00,Switzerland,17,1891
2026-06-11T23:59:59+00:00,Mexico,18,1881
2026-06-11T23:59:59+00:00,Senegal,21,1860
2026-06-11T23:59:59+00:00,Paraguay,22,1834
2026-06-11T23:59:59+00:00,Austria,23,1830
2026-06-11T23:59:59+00:00,Morocco,24,1827
2026-06-11T23:59:59+00:00,Canada,25,1788
2026-06-11T23:59:59+00:00,South Korea,26,1786
2026-06-11T23:59:59+00:00,Scotland,27,1782
2026-06-11T23:59:59+00:00,Australia,29,1777
2026-06-11T23:59:59+00:00,Algeria,30,1772
2026-06-11T23:59:59+00:00,Iran,31,1772
2026-06-11T23:59:59+00:00,Panama,37,1730
2026-06-11T23:59:59+00:00,USA,38,1726
2026-06-11T23:59:59+00:00,Uzbekistan,41,1714
2026-06-11T23:59:59+00:00,Czechia,42,1712
2026-06-11T23:59:59+00:00,Sweden,43,1712
2026-06-11T23:59:59+00:00,Egypt,48,1696
2026-06-11T23:59:59+00:00,Ivory Coast,49,1695
2026-06-11T23:59:59+00:00,Jordan,52,1680
2026-06-11T23:59:59+00:00,DR Congo,55,1652
2026-06-11T23:59:59+00:00,Tunisia,58,1628
2026-06-11T23:59:59+00:00,Iraq,63,1607
2026-06-11T23:59:59+00:00,Bosnia and Herzegovina,65,1595
2026-06-11T23:59:59+00:00,Cape Verde Islands,68,1578
2026-06-11T23:59:59+00:00,Saudi Arabia,69,1576
2026-06-11T23:59:59+00:00,New Zealand,72,1562
2026-06-11T23:59:59+00:00,Haiti,73,1548
2026-06-11T23:59:59+00:00,South Africa,80,1511
2026-06-11T23:59:59+00:00,Ghana,81,1510
2026-06-11T23:59:59+00:00,Curaçao,91,1434
2026-06-11T23:59:59+00:00,Qatar,96,1421
2026-06-12T19:00:01+00:00,Spain,1,2157
2026-06-12T19:00:01+00:00,Argentina,2,2115
2026-06-12T19:00:01+00:00,France,3,2063
2026-06-12T19:00:01+00:00,England,4,2024
2026-06-12T19:00:01+00:00,Brazil,5,1991
2026-06-12T19:00:01+00:00,Portugal,6,1989
2026-06-12T19:00:01+00:00,Colombia,7,1982
2026-06-12T19:00:01+00:00,Netherlands,8,1948
2026-06-12T19:00:01+00:00,Ecuador,9,1938
2026-06-12T19:00:01+00:00,Germany,10,1932
2026-06-12T19:00:01+00:00,Norway,11,1914
2026-06-12T19:00:01+00:00,Croatia,12,1912
2026-06-12T19:00:01+00:00,Turkey,13,1911
2026-06-12T19:00:01+00:00,Japan,14,1906
2026-06-12T19:00:01+00:00,Belgium,15,1894
2026-06-12T19:00:01+00:00,Uruguay,16,1892
2026-06-12T19:00:01+00:00,Switzerland,17,1891
2026-06-12T19:00:01+00:00,Mexico,18,1881
2026-06-12T19:00:01+00:00,Senegal,21,1860
2026-06-12T19:00:01+00:00,Paraguay,22,1834
2026-06-12T19:00:01+00:00,Austria,23,1830
2026-06-12T19:00:01+00:00,Morocco,24,1827
2026-06-12T19:00:01+00:00,South Korea,25,1786
2026-06-12T19:00:01+00:00,Scotland,26,1782
2026-06-12T19:00:01+00:00,Australia,28,1777
2026-06-12T19:00:01+00:00,Algeria,29,1772
2026-06-12T19:00:01+00:00,Iran,30,1772
2026-06-12T19:00:01+00:00,Canada,31,1767
2026-06-12T19:00:01+00:00,Panama,37,1730
2026-06-12T19:00:01+00:00,USA,38,1726
2026-06-12T19:00:01+00:00,Uzbekistan,41,1714
2026-06-12T19:00:01+00:00,Czechia,42,1712
2026-06-12T19:00:01+00:00,Sweden,43,1712
2026-06-12T19:00:01+00:00,Egypt,48,1696
2026-06-12T19:00:01+00:00,Ivory Coast,49,1695
2026-06-12T19:00:01+00:00,Jordan,52,1680
2026-06-12T19:00:01+00:00,DR Congo,55,1652
2026-06-12T19:00:01+00:00,Tunisia,58,1628
2026-06-12T19:00:01+00:00,Bosnia and Herzegovina,61,1616
2026-06-12T19:00:01+00:00,Iraq,64,1607
2026-06-12T19:00:01+00:00,Cape Verde Islands,68,1578
2026-06-12T19:00:01+00:00,Saudi Arabia,69,1576
2026-06-12T19:00:01+00:00,New Zealand,72,1562
2026-06-12T19:00:01+00:00,Haiti,73,1548
2026-06-12T19:00:01+00:00,South Africa,80,1511
2026-06-12T19:00:01+00:00,Ghana,81,1510
2026-06-12T19:00:01+00:00,Curaçao,91,1434
2026-06-12T19:00:01+00:00,Qatar,96,1421
2026-06-13T01:00:02+00:00,Spain,1,2157
2026-06-13T01:00:02+00:00,Argentina,2,2115
2026-06-13T01:00:02+00:00,France,3,2063
2026-06-13T01:00:02+00:00,England,4,2024
2026-06-13T01:00:02+00:00,Brazil,5,1991
2026-06-13T01:00:02+00:00,Portugal,6,1989
2026-06-13T01:00:02+00:00,Colombia,7,1982
2026-06-13T01:00:02+00:00,Netherlands,8,1948
2026-06-13T01:00:02+00:00,Ecuador,9,1938
2026-06-13T01:00:02+00:00,Germany,10,1932
2026-06-13T01:00:02+00:00,Norway,11,1914
2026-06-13T01:00:02+00:00,Croatia,12,1912
2026-06-13T01:00:02+00:00,Turkey,13,1911
2026-06-13T01:00:02+00:00,Japan,14,1906
2026-06-13T01:00:02+00:00,Belgium,15,1894
2026-06-13T01:00:02+00:00,Uruguay,16,1892
2026-06-13T01:00:02+00:00,Switzerland,17,1891
2026-06-13T01:00:02+00:00,Mexico,18,1881
2026-06-13T01:00:02+00:00,Senegal,21,1860
2026-06-13T01:00:02+00:00,Austria,22,1830
2026-06-13T01:00:02+00:00,Morocco,23,1827
2026-06-13T01:00:02+00:00,South Korea,24,1786
2026-06-13T01:00:02+00:00,Scotland,25,1782
2026-06-13T01:00:02+00:00,Paraguay,26,1780
2026-06-13T01:00:02+00:00,USA,27,1780
2026-06-13T01:00:02+00:00,Australia,29,1777
2026-06-13T01:00:02+00:00,Algeria,30,1772
2026-06-13T01:00:02+00:00,Iran,31,1772
2026-06-13T01:00:02+00:00,Canada,32,1767
2026-06-13T01:00:02+00:00,Panama,38,1730
2026-06-13T01:00:02+00:00,Uzbekistan,41,1714
2026-06-13T01:00:02+00:00,Czechia,42,1712
2026-06-13T01:00:02+00:00,Sweden,43,1712
2026-06-13T01:00:02+00:00,Egypt,48,1696
2026-06-13T01:00:02+00:00,Ivory Coast,49,1695
2026-06-13T01:00:02+00:00,Jordan,52,1680
2026-06-13T01:00:02+00:00,DR Congo,55,1652
2026-06-13T01:00:02+00:00,Tunisia,58,1628
2026-06-13T01:00:02+00:00,Bosnia and Herzegovina,61,1616
2026-06-13T01:00:02+00:00,Iraq,64,1607
2026-06-13T01:00:02+00:00,Cape Verde Islands,68,1578
2026-06-13T01:00:02+00:00,Saudi Arabia,69,1576
2026-06-13T01:00:02+00:00,New Zealand,72,1562
2026-06-13T01:00:02+00:00,Haiti,73,1548
2026-06-13T01:00:02+00:00,South Africa,80,1511
2026-06-13T01:00:02+00:00,Ghana,81,1510
2026-06-13T01:00:02+00:00,Curaçao,91,1434
2026-06-13T01:00:02+00:00,Qatar,96,1421
2026-06-13T19:00:03+00:00,Spain,1,2157
2026-06-13T19:00:03+00:00,Argentina,2,2115
2026-06-13T19:00:03+00:00,France,3,2063
2026-06-13T19:00:03+00:00,England,4,2024
2026-06-13T19:00:03+00:00,Brazil,5,1991
2026-06-13T19:00:03+00:00,Portugal,6,1989
2026-06-13T19:00:03+00:00,Colombia,7,1982
2026-06-13T19:00:03+00:00,Netherlands,8,1948
2026-06-13T19:00:03+00:00,Ecuador,9,1938
2026-06-13T19:00:03+00:00,Germany,10,1932
2026-06-13T19:00:03+00:00,Norway,11,1914
2026-06-13T19:00:03+00:00,Croatia,12,1912
2026-06-13T19:00:03+00:00,Turkey,13,1911
2026-06-13T19:00:03+00:00,Japan,14,1906
2026-06-13T19:00:03+00:00,Belgium,15,1894
2026-06-13T19:00:03+00:00,Uruguay,16,1892
2026-06-13T19:00:03+00:00,Mexico,17,1881
2026-06-13T19:00:03+00:00,Switzerland,20,1865
2026-06-13T19:00:03+00:00,Senegal,21,1860
2026-06-13T19:00:03+00:00,Austria,22,1830
2026-06-13T19:00:03+00:00,Morocco,23,1827
2026-06-13T19:00:03+00:00,South Korea,24,1786
2026-06-13T19:00:03+00:00,Scotland,25,1782
2026-06-13T19:00:03+00:00,Paraguay,26,1780
2026-06-13T19:00:03+00:00,USA,27,1780
2026-06-13T19:00:03+00:00,Australia,29,1777
2026-06-13T19:00:03+00:00,Algeria,30,1772
2026-06-13T19:00:03+00:00,Iran,31,1772
2026-06-13T19:00:03+00:00,Canada,32,1767
2026-06-13T19:00:03+00:00,Panama,38,1730
2026-06-13T19:00:03+00:00,Uzbekistan,41,1714
2026-06-13T19:00:03+00:00,Czechia,42,1712
2026-06-13T19:00:03+00:00,Sweden,43,1712
2026-06-13T19:00:03+00:00,Egypt,48,1696
2026-06-13T19:00:03+00:00,Ivory Coast,49,1695
2026-06-13T19:00:03+00:00,Jordan,52,1680
2026-06-13T19:00:03+00:00,DR Congo,55,1652
2026-06-13T19:00:03+00:00,Tunisia,58,1628
2026-06-13T19:00:03+00:00,Bosnia and Herzegovina,61,1616
2026-06-13T19:00:03+00:00,Iraq,64,1607
2026-06-13T19:00:03+00:00,Cape Verde Islands,68,1578
2026-06-13T19:00:03+00:00,Saudi Arabia,69,1576
2026-06-13T19:00:03+00:00,New Zealand,72,1562
2026-06-13T19:00:03+00:00,Haiti,73,1548
2026-06-13T19:00:03+00:00,South Africa,80,1511
2026-06-13T19:00:03+00:00,Ghana,81,1510
2026-06-13T19:00:03+00:00,Qatar,90,1447
2026-06-13T19:00:03+00:00,Curaçao,92,1434
2026-06-13T22:00:04+00:00,Spain,1,2157
2026-06-13T22:00:04+00:00,Argentina,2,2115
2026-06-13T22:00:04+00:00,France,3,2063
2026-06-13T22:00:04+00:00,England,4,2024
2026-06-13T22:00:04+00:00,Portugal,5,1989
2026-06-13T22:00:04+00:00,Colombia,6,1982
2026-06-13T22:00:04+00:00,Brazil,7,1978
2026-06-13T22:00:04+00:00,Netherlands,8,1948
2026-06-13T22:00:04+00:00,Ecuador,9,1938
2026-06-13T22:00:04+00:00,Germany,10,1932
2026-06-13T22:00:04+00:00,Norway,11,1914
2026-06-13T22:00:04+00:00,Croatia,12,1912
2026-06-13T22:00:04+00:00,Turkey,13,1911
2026-06-13T22:00:04+00:00,Japan,14,1906
2026-06-13T22:00:04+00:00,Belgium,15,1894
2026-06-13T22:00:04+00:00,Uruguay,16,1892
2026-06-13T22:00:04+00:00,Mexico,17,1881
2026-06-13T22:00:04+00:00,Switzerland,20,1865
2026-06-13T22:00:04+00:00,Senegal,21,1860
2026-06-13T22:00:04+00:00,Morocco,22,1840
2026-06-13T22:00:04+00:00,Austria,23,1830
2026-06-13T22:00:04+00:00,South Korea,24,1786
2026-06-13T22:00:04+00:00,Scotland,25,1782
2026-06-13T22:00:04+00:00,Paraguay,26,1780
2026-06-13T22:00:04+00:00,USA,27,1780
2026-06-13T22:00:04+00:00,Australia,29,1777
2026-06-13T22:00:04+00:00,Algeria,30,1772
2026-06-13T22:00:04+00:00,Iran,31,1772
